Unnamed: 0,exp,job_id,ts,cabinet,node,device,uuid,warmup,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf_s,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
20,bert,156945,1652847454,c009,3,3,c009-3-3,FALSE,32.046252,155.325628,1,6.882065,90.63314531,0.321503067,0.245490528,245.490528,0.23618169,7.159529193,1491.847525,1530,1312,1530,877,877,877,877,49.05937655,50,34,57,146.5466502,164.362,63.239,256.941
2,bert,156944,1652847454,c009,3,2,c009-3-2,FALSE,32.029126,155.309798,1,6.939077,90.63314531,0.321666553,0.244022854,244.022854,0.215470791,7.170993179,1496.053807,1530,1312,1530,877,877,877,877,48.90563166,49,32,59,151.2119366,154.615,63.687,261.774
18,bert,156942,1652847454,c009,3,0,c009-3-0,FALSE,32.029442,155.309431,2,5.951126,90.63314531,0.321735416,0.244550638,244.550638,0.227348113,7.170852839,1514.964072,1530,1312,1530,877,877,877,877,47.1501996,48,31,57,166.2440459,171.86,68.088,288.577
16,bert,156943,1652847454,c009,3,1,c009-3-1,FALSE,32.017642,155.317414,1,6.939756,90.63314531,0.321508822,0.244624176,244.624176,0.236183865,7.165097783,1496.565615,1530,1312,1530,877,877,877,877,61.06002035,62,38,75,159.9531322,181.9115,65.643,271.176
35,bert,159290,1652848428,c009,3,0,c009-3-0,FALSE,30.055456,161.830183,2,5.919037,92.00164342,0.327064557,0.246860365,246.860365,0.220428978,6.467203678,1515.735206,1530,1312,1530,877,877,877,877,47.45687061,48,31,58,167.6726565,169.987,68.577,292.263
42,bert,159293,1652848428,c009,3,3,c009-3-3,FALSE,30.055648,161.837585,2,8.513431,92.00164342,0.327076729,0.24702489,247.02489,0.236128012,6.464988629,1498.542886,1530,1312,1530,877,877,877,877,49.20635721,50,35,57,149.080884,167.884,63.239,252.563
0,bert,159291,1652848428,c009,3,1,c009-3-1,FALSE,30.045814,161.830807,2,8.524067,92.00164342,0.326813031,0.246833647,246.833647,0.235451666,6.472053794,1497.555667,1530,1312,1530,877,877,877,877,61.43530592,62,38,75,159.4610822,181.425,66.621,275.851
47,bert,159292,1652848428,c009,3,2,c009-3-2,FALSE,30.054641,161.830336,2,8.521625,92.00164342,0.32319969,0.246848273,246.848273,0.231135803,6.466764355,1522.498477,1530,1312,1530,877,877,877,877,49.1964467,49,32,59,153.8185523,154.96,63.198,264.375
17,bert,161303,1652849404,c009,3,0,c009-3-0,FALSE,30.890904,149.822324,2,5.990271,93.6833694,0.333313328,0.241173429,241.173429,0.21349137,6.473548479,1514.546411,1530,1312,1530,877,877,877,877,46.51123864,48,31,56,163.0396145,148.279,68.088,289.253
39,bert,161305,1652849404,c009,3,2,c009-3-2,FALSE,30.882244,149.817925,2,9.802229,93.6833694,0.333058674,0.24109971,241.09971,0.228367744,6.466603424,1496.101861,1530,1312,1530,877,877,877,877,48.38246817,49,31,59,148.227809,144.137,63.687,262.259
40,bert,161306,1652849404,c009,3,3,c009-3-3,FALSE,30.889566,149.846733,2,9.851736,93.6833694,0.333216944,0.241684275,241.684275,0.231522157,6.472792969,1500.132867,1530,1312,1530,877,877,877,877,49.01947079,50,34,57,148.6267104,165.445,63.239,256.305
44,bert,161304,1652849404,c009,3,1,c009-3-1,FALSE,30.871281,149.817857,2,9.851702,93.6833694,0.332992179,0.24055535,240.55535,0.231498701,6.471111856,1495.888345,1530,1312,1530,877,877,877,877,60.2278295,61,37,75,156.4083234,174.367,65.643,271.303
22,bert,163740,1652850372,c009,3,2,c009-3-2,FALSE,30.092017,135.516585,1,5.806213,87.43741838,0.30899614,0.238912504,238.912504,0.226306703,6.069835598,1490.938398,1530,1312,1530,877,877,877,877,48.59753593,49,31,59,151.4436063,158.41,63.198,259.517
38,bert,163738,1652850372,c009,3,0,c009-3-0,FALSE,30.092671,135.515991,2,5.843475,87.43741838,0.309384498,0.238936348,238.936348,0.2066576,6.077997337,1516.33469,1530,1312,1530,877,877,877,877,46.91501272,48,31,57,167.4479807,169.5,68.088,292.356
14,bert,163741,1652850372,c009,3,3,c009-3-3,FALSE,30.092546,135.51595,1,5.804153,87.43741838,0.309031997,0.239188504,239.188504,0.231896419,6.06986146,1495.549266,1530,1312,1530,877,877,877,877,49.1363398,50,34,57,150.7659004,169.723,62.75,256.941
12,bert,163739,1652850372,c009,3,1,c009-3-1,FALSE,30.075559,135.520865,1,5.787508,87.43741838,0.308926325,0.238991923,238.991923,0.233795188,6.063194944,1494.357068,1530,1312,1530,877,877,877,877,60.77172775,62,37,74,161.1494319,185.684,66.132,274.821
46,bert,2925,1652851351,c009,3,0,c009-3-0,FALSE,30.729934,181.866537,3,7.829061,96.18605444,0.343856192,0.244763576,244.763576,0.204559582,7.008136523,1515.793651,1530,1312,1530,877,877,877,877,46.88007466,47,32,57,161.4851213,140.666,68.577,295.754
13,bert,2926,1652851351,c009,3,1,c009-3-1,FALSE,30.71288,181.872006,2,8.879878,96.18605444,0.343671238,0.244526851,244.526851,0.233032519,7.006909228,1499.572816,1530,1312,1530,877,877,877,877,60.93297717,62,38,75,156.6022885,171.185,66.132,265.172
3,bert,2928,1652851351,c009,3,3,c009-3-3,FALSE,30.724472,181.861083,2,8.876265,96.18605444,0.343821022,0.244691977,244.691977,0.232481629,7.009091391,1500.076699,1530,1312,1530,877,877,877,877,49.22464823,50,35,58,146.4925784,161.544,63.239,259.227
31,bert,2927,1652851351,c009,3,2,c009-3-2,FALSE,30.723535,181.861053,1,6.772841,96.18605444,0.331694594,0.244183203,244.183203,0.220633225,7.006160311,1500.207767,1530,1312,1530,877,877,877,877,48.67281553,49,32,59,148.5598481,145.403,64.176,265.832
9,bert,34191,1652916495,c004,12,3,c004-12-3,TRUE,38.638328,152.708895,1,5.182328,86.2972264,0.303528145,0.241253469,241.253469,0.229248087,5.396207867,1488.009202,1530,1312,1530,877,877,877,877,53.8629156,55,41,61,159.8179964,181.665,66.498,274.023
13,bert,34188,1652916495,c004,12,0,c004-12-0,TRUE,38.6382,152.71076,1,2.791699,86.2972264,0.303603642,0.241463775,241.463775,0.214809722,5.39145244,1516.413021,1530,1312,1530,877,877,877,877,51.52034588,52,39,58,158.3555926,161.263,65.52,280.35
22,bert,34190,1652916495,c004,12,2,c004-12-2,TRUE,38.637035,152.709582,1,5.164651,86.2972264,0.303532399,0.241363168,241.363168,0.224815605,5.388043531,1496.499462,1530,1312,1530,877,877,877,877,51.45341949,52,40,57,159.6338324,173.5,65.563,266.682
19,bert,34189,1652916495,c004,12,1,c004-12-1,TRUE,38.618317,152.70934,1,5.180776,86.2972264,0.303511927,0.241315026,241.315026,0.230153339,5.395100821,1492.4673,1530,1312,1530,877,877,877,877,64.56088561,65,44,78,168.6300633,192.614,64.542,297.48
21,bert,36797,1652917488,c004,12,0,c004-12-0,FALSE,38.485805,143.614539,1,3.42565,86.72836826,0.30668456,0.24287183,242.87183,0.213529565,6.826847416,1514.562307,1530,1312,1530,877,877,877,877,53.48325605,54,42,62,158.9465404,162.184,66.498,273.302
6,bert,36798,1652917488,c004,12,1,c004-12-1,FALSE,38.485239,143.607412,2,8.954865,86.72836826,0.306692536,0.243608035,243.608035,0.23496653,6.826074382,1486.623003,1530,723,1530,877,877,877,877,69.0457934,70,49,83,170.6200282,193.343,66.009,290.101
