exp,job_id,ts,cabinet,node,cab-node,uuid,device,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,median_memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
resnet,99690,1646204768,c002,1,c002-1,c002-1-2,2,26.350372,614.350469,26,110.893611,587.147399,569.2651078,201.082672,96.01934906,15206.08916,1502.694159,1530,1312,1530,877,877,877,877,38.2196415,39,30,45,103.0958533,78.722,59.692,282.04
resnet,114108,1646017711,c005,6,c005-6,c005-6-3,3,17.9305,362.406763,0,0,232.336973,305.1759623,168.7897816,97.89619595,4285.268612,1508.312397,1530,1312,1530,877,877,877,877,48.58450413,51,32,57,156.495536,96.2935,63.606,305.14
resnet,114105,1646017711,c005,6,c005-6,c005-6-0,0,17.941625,362.402599,0,0,232.336973,280.3909905,155.9874006,96.76721692,4539.739884,1510.250518,1530,1312,1530,877,877,877,877,41.96785566,43,29,48,147.0851719,88.932,60.142,288.456
resnet,60011,1646124925,c008,3,c008-3,c008-3-0,0,15.72678,236.221221,1,3.892278,211.827369,257.1690562,150.916927,96.04503401,4015.519395,1511.802278,1530,1312,1530,877,877,877,877,41.0002209,43,26,49,154.0475531,96.56,62.057,293.11
resnet,60014,1646124925,c008,3,c008-3,c008-3-3,3,15.717679,236.19167,1,3.924949,211.827369,267.4536786,150.6610224,95.76509241,4030.509183,1475.729841,1530,502,1530,877,877,877,877,67.59553295,72,36,85,156.9264478,112.021,62.709,304.007
resnet,114106,1646017711,c005,6,c005-6,c005-6-1,1,17.930562,362.407738,0,0,232.336973,284.7094947,150.040701,96.36555612,5086.3965,1516.245061,1530,1312,1530,877,877,877,877,48.78461862,51,33,56,161.5708634,98.28,63.117,314.842
resnet,160971,1646132925,c008,11,c008-11,c008-11-0,0,11.204363,226.213841,0,0,205.295852,249.2866126,148.9419602,97.0344469,3499.891378,1512.627183,1530,1312,1530,877,877,877,877,49.19929577,49,38,58,164.4947012,127.3645,66.621,298.076
resnet,114107,1646017711,c005,6,c005-6,c005-6-2,2,17.906687,362.413048,0,0,232.336973,246.8923146,148.4087594,98.24258834,4640.717164,1514.601422,1530,1312,1530,877,877,877,877,39.76662484,41,27,46,147.7736883,87.523,60.181,288.161
resnet,11536,1646070104,c004,12,c004-12,c004-12-2,2,5.91949,211.641622,0,0,195.875405,236.7084374,148.0066963,96.16211802,3735.555306,1514.171007,1530,1312,1530,877,877,877,877,50.03293192,50,37,60,168.0188299,141.52,64.095,301.545
resnet,89023,1646005742,c005,10,c005-10,c005-10-1,1,5.739786,218.541074,2,10.6432,203.352354,244.7733971,147.8586718,95.81171721,6295.521192,1514.808692,1530,1312,1530,877,877,877,877,55.46126594,57,38,64,165.0749735,130.131,65.154,296.623
resnet,89025,1646005742,c005,10,c005-10,c005-10-3,3,5.74846,218.487573,2,7.253768,203.352354,235.228817,145.3757808,96.61596268,5120.640144,1511.49028,1530,1312,1530,877,877,877,877,63.08509125,65,39,81,168.9373555,138.194,62.138,301.855
resnet,11537,1646070104,c004,12,c004-12,c004-12-3,3,5.926547,211.677552,0,0,195.875405,232.0706664,145.0606361,95.95937282,3510.223016,1514.834735,1530,1312,1530,877,877,877,877,54.67070757,54,39,68,173.195834,154.208,65.074,305.908
resnet,85124,1646010285,c003,6,c003-6,c003-6-1,1,9.934276,252.675143,1798,71652.12762,233.059391,295.2751138,144.812013,95.92176415,4123.861616,1516.652482,1530,1312,1530,877,877,877,877,48.03754693,49,31,55,148.9878027,91.986,62.261,281.305
resnet,53525,1646128732,c002,3,c002-3,c002-3-1,1,9.384819,209.278373,1942,73293.09482,189.987793,222.5236197,143.0921964,96.98057175,4062.251255,1509.046477,1530,1312,1530,877,877,877,877,53.07921039,55,32,61,177.8811062,158.9655,66.009,308.739
resnet,113656,1646128804,c008,9,c008-9,c008-9-2,2,15.21222,210.985349,2386,53052.01615,186.39049,223.8799278,142.5646383,96.97591793,3524.120454,1510.539139,1530,1312,1530,877,877,877,877,45.09730691,46,34,51,158.164439,139.43,62.097,279.429
resnet,85123,1646010285,c003,6,c003-6,c003-6-0,0,9.934329,252.706035,0,0,233.059391,284.0074183,142.2558092,96.30485438,4066.12001,1514.172671,1530,1312,1530,877,877,877,877,42.74673846,43,28,50,154.479065,93.575,65.686,299.152
resnet,60013,1646124925,c008,3,c008-3,c008-3-2,2,15.715674,236.158917,1,3.924876,211.827369,259.2878067,142.1742272,95.52458022,4031.392882,1511.201631,1530,1312,1530,877,877,877,877,41.6329588,43,26,49,160.6278176,101.759,65.197,306.717
resnet,11534,1646070104,c004,12,c004-12,c004-12-0,0,5.926816,211.641704,0,0,195.875405,230.5307501,141.871769,96.70134634,3759.695262,1511.766748,1530,1312,1530,877,877,877,877,48.40953545,48,35,60,162.9923042,134.555,63.564,294.952
resnet,160972,1646132925,c008,11,c008-11,c008-11-1,1,11.187823,226.217893,0,0,205.295852,234.5821283,141.5610388,96.43038362,3531.047024,1512.286654,1530,1312,1530,877,877,877,877,58.23825111,58,43,70,171.2243096,137.525,65.966,313.528
resnet,53526,1646128732,c002,3,c002-3,c002-3-2,2,9.382942,209.275548,2497,62850.83053,189.987793,223.6699212,141.5045001,97.24359959,3991.045505,1508.065,1530,1312,1530,877,877,877,877,45.2631842,46,28,51,169.2864355,147.4745,62.586,302.714
resnet,89024,1646005742,c005,10,c005-10,c005-10-2,2,5.733024,218.487875,3,12.889819,203.352354,240.7912543,140.1356682,96.29287571,6316.044822,1501.159544,1522,1312,1530,877,877,877,877,52.97411541,54,34,63,175.8685498,134.776,64.584,326.97
resnet,60012,1646124925,c008,3,c008-3,c008-3-1,1,15.70846,236.161404,0,0,211.827369,229.0417675,140.1058291,94.86974031,3611.096888,1511.722831,1530,1312,1530,877,877,877,877,44.62073549,47,29,52,152.7891798,103.158,64.176,283.916
resnet,160974,1646132925,c008,11,c008-11,c008-11-3,3,11.204555,226.239928,0,0,205.295852,241.116773,139.9999894,96.72383964,3462.614097,1511.581963,1530,1312,1530,877,877,877,877,60.55578947,60,43,76,164.656309,129.845,65.6,305.344
resnet,53524,1646128732,c002,3,c002-3,c002-3-0,0,9.394527,209.275535,0,0,189.987793,234.0826384,139.9420835,96.27948701,4514.400564,1516.95501,1530,1312,1530,877,877,877,877,45.45308105,47,29,51,164.2102936,148.2055,60.181,289.131
