,exp,reps,uuid,cabinet,node,ts,device,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr
844,pagerank,2,GPU-169ca29a-dcc8-1dfb-dfac-c08864212ef1,c007,009,1647845444,1,1.106884,66.926527,2000,66085.696279,1530.0,877.0,43.0,83.12
804,pagerank,1,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647845211,2,1.027511,66.95009,2000,66193.628663,1530.0,877.0,34.0,81.056
494,pagerank,4,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647846088,2,0.863509,66.762011,2000,66174.278089,1530.0,877.0,34.0,81.056
580,pagerank,5,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647846369,2,0.787059,66.673837,2000,66143.910869,1530.0,877.0,34.0,81.056
839,pagerank,3,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647845768,2,0.842462,66.705695,2000,66137.17370099999,1530.0,877.0,34.0,81.056
120,pagerank,2,GPU-180172a5-55ce-6eb4-3312-63f26b255b0e,c009,005,1647845490,2,0.828402,66.7201,2000,66148.146102,1530.0,877.0,34.0,81.056
35,pagerank,1,GPU-196e6179-12bb-4ce1-cba0-c360e2033edf,c008,006,1648052277,3,0.91616,66.717358,2000,66072.892062,1530.0,877.0,40.0,84.662
166,pagerank,2,GPU-196e6179-12bb-4ce1-cba0-c360e2033edf,c008,006,1648052558,3,0.886643,66.697168,2000,66082.494652,1530.0,877.0,40.0,84.662
796,pagerank,5,GPU-196e6179-12bb-4ce1-cba0-c360e2033edf,c008,006,1648053398,3,0.905421,66.70258,2000,66070.021581,1530.0,877.0,39.0,84.662
704,pagerank,4,GPU-196e6179-12bb-4ce1-cba0-c360e2033edf,c008,006,1648053118,3,0.881104,66.756936,2000,66141.99020199999,1530.0,877.0,39.0,84.662
431,pagerank,3,GPU-196e6179-12bb-4ce1-cba0-c360e2033edf,c008,006,1648052838,3,0.916079,66.708265,2000,66062.894444,1530.0,877.0,40.0,84.662
565,pagerank,4,GPU-1a9e9e9e-db0c-45a0-d1e0-0286ec1b1ce7,c008,005,1648048526,2,0.904582,66.727412,2000,66096.67664599999,1530.0,877.0,33.0,81.553
470,pagerank,1,GPU-1a9e9e9e-db0c-45a0-d1e0-0286ec1b1ce7,c008,005,1648047685,2,0.879364,66.730943,2000,66108.12636200001,1530.0,877.0,34.0,81.553
518,pagerank,2,GPU-1a9e9e9e-db0c-45a0-d1e0-0286ec1b1ce7,c008,005,1648047965,2,0.907661,66.704594,2000,66062.64470500001,1530.0,877.0,33.0,81.553
744,pagerank,3,GPU-1a9e9e9e-db0c-45a0-d1e0-0286ec1b1ce7,c008,005,1648048245,2,0.946087,66.787756,2000,66118.911127,1530.0,877.0,33.0,81.553
256,pagerank,5,GPU-1a9e9e9e-db0c-45a0-d1e0-0286ec1b1ce7,c008,005,1648048806,2,0.89401,66.728964,2000,66107.77164,1530.0,877.0,34.0,81.553
858,pagerank,3,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647848609,1,0.828201,66.662887,2000,66103.634054,1530.0,877.0,37.0,83.045
6,pagerank,5,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647847728,1,0.776656,66.485932,2000,65965.53284300001,1530.0,877.0,37.0,83.045
25,pagerank,2,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647848332,1,0.951576,66.800826,2000,66124.14248000001,1530.0,877.0,37.0,83.045
301,pagerank,4,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647847451,1,0.802306,66.586065,2000,66052.800961,1530.0,877.0,37.0,83.045
303,pagerank,5,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647849163,1,0.796579,66.389457,2000,65861.83287000001,1530.0,877.0,37.0,83.045
308,pagerank,1,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647848055,1,0.782672,66.376338,2000,65864.287828,1530.0,877.0,37.0,83.489
0,pagerank,4,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647848886,1,0.812699,66.564259,2000,66021.53499800002,1530.0,877.0,37.0,83.045
701,pagerank,2,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647846896,1,0.932546,66.661569,2000,65996.233894,1530.0,877.0,37.0,83.045
104,pagerank,1,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647846618,1,0.824135,66.535449,2000,65986.08319100001,1530.0,877.0,37.0,83.489
667,pagerank,3,GPU-1bc497e1-bfe9-9601-5868-a6f198ab7773,c006,001,1647847174,1,0.959286,66.663436,2000,65975.716775,1530.0,877.0,37.0,83.045
789,pagerank,5,GPU-1d5354ba-ac04-b5a8-3b42-6bbc274e625e,c005,003,1647857118,0,0.759366,66.768874,2000,66266.570528,1530.0,877.0,31.0,78.57
127,pagerank,3,GPU-1d5354ba-ac04-b5a8-3b42-6bbc274e625e,c005,003,1647856561,0,0.793137,66.651939,2000,66127.11029000001,1530.0,877.0,31.0,78.57
134,pagerank,2,GPU-1d5354ba-ac04-b5a8-3b42-6bbc274e625e,c005,003,1647856282,0,0.816912,66.702037,2000,66156.781236,1530.0,877.0,31.0,78.57
554,pagerank,4,GPU-1d5354ba-ac04-b5a8-3b42-6bbc274e625e,c005,003,1647856839,0,0.813452,66.693001,2000,66147.03822399999,1530.0,877.0,31.0,78.57
769,pagerank,1,GPU-1d5354ba-ac04-b5a8-3b42-6bbc274e625e,c005,003,1647856002,0,0.974897,66.992177,2000,66263.77205500001,1530.0,877.0,32.0,78.57
225,pagerank,4,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,010,1647847002,2,0.868933,66.671554,2000,66073.330061,1530.0,877.0,38.0,86.526
649,pagerank,2,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,010,1647846442,2,0.887189,66.644544,2000,66029.44414400001,1530.0,877.0,38.0,86.526
7,pagerank,3,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,010,1647846720,2,0.858299,66.716188,2000,66130.59581,1530.0,877.0,38.0,86.526
406,pagerank,1,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,010,1647846162,2,0.892618,66.70467,2000,66078.341256,1530.0,877.0,38.0,86.526
452,pagerank,5,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,010,1647847280,2,0.861184,66.671757,2000,66084.505638,1530.0,877.0,38.0,86.526
445,pagerank,2,GPU-21b84f62-05cd-432b-acde-a73806e9f42a,c008,001,1648045658,0,0.812483,64.66352,2000,64106.235488000006,1530.0,877.0,31.0,78.57
247,pagerank,4,GPU-21b84f62-05cd-432b-acde-a73806e9f42a,c008,001,1648046214,0,0.84264,64.796355,2000,64217.53877,1530.0,877.0,31.0,78.57
409,pagerank,5,GPU-21b84f62-05cd-432b-acde-a73806e9f42a,c008,001,1648046492,0,0.815727,64.676686,2000,64112.404547,1530.0,877.0,31.0,78.57
725,pagerank,3,GPU-21b84f62-05cd-432b-acde-a73806e9f42a,c008,001,1648045937,0,0.830002,64.677371,2000,64107.337140999996,1530.0,877.0,31.0,78.57
669,pagerank,1,GPU-21b84f62-05cd-432b-acde-a73806e9f42a,c008,001,1648045378,0,0.951448,64.817716,2000,64131.981360000005,1530.0,877.0,30.0,78.519
200,pagerank,1,GPU-269ca8a6-3390-131a-9c99-7370e4fc26c0,c005,005,1647882340,0,0.859331,66.639687,2000,66026.521898,1530.0,877.0,36.0,84.04
80,pagerank,4,GPU-269ca8a6-3390-131a-9c99-7370e4fc26c0,c005,005,1647883169,0,0.783011,66.636904,2000,66120.562028,1530.0,877.0,32.0,82.548
645,pagerank,2,GPU-269ca8a6-3390-131a-9c99-7370e4fc26c0,c005,005,1647882616,0,0.759787,66.575019,2000,66085.987257,1530.0,877.0,33.0,82.548
866,pagerank,5,GPU-269ca8a6-3390-131a-9c99-7370e4fc26c0,c005,005,1647883445,0,0.793305,66.620966,2000,66099.435354,1530.0,877.0,31.0,82.548
319,pagerank,3,GPU-269ca8a6-3390-131a-9c99-7370e4fc26c0,c005,005,1647882893,0,0.74236,66.579427,2000,66107.67821499999,1530.0,877.0,32.0,82.548
281,pagerank,1,GPU-2a361805-e724-c2ff-f257-62d27363b999,c009,008,1647846227,3,0.755056,64.734449,2000,64240.792241,1530.0,877.0,40.0,84.013
121,pagerank,4,GPU-2a361805-e724-c2ff-f257-62d27363b999,c009,008,1647847052,3,0.738777,64.76851,2000,64295.262364,1530.0,877.0,41.0,83.986
236,pagerank,3,GPU-2a361805-e724-c2ff-f257-62d27363b999,c009,008,1647846776,3,0.744316,64.750182,2000,64273.129834,1530.0,877.0,41.0,83.986
515,pagerank,5,GPU-2a361805-e724-c2ff-f257-62d27363b999,c009,008,1647847326,3,0.758269,64.789255,2000,64301.65177,1530.0,877.0,41.0,83.986
601,pagerank,2,GPU-2a361805-e724-c2ff-f257-62d27363b999,c009,008,1647846501,3,0.775926,64.8534,2000,64345.807973,1530.0,877.0,41.0,83.986
636,pagerank,1,GPU-2a6e80db-871c-96c0-551b-7d1467f2f059,c006,004,1647889419,2,0.75445,66.680757,2000,66199.20958599998,1530.0,877.0,29.0,76.083
309,pagerank,2,GPU-2a6e80db-871c-96c0-551b-7d1467f2f059,c006,004,1647889856,2,0.736292,66.713472,2000,66249.61855700001,1530.0,877.0,29.0,75.586
857,pagerank,3,GPU-2a6e80db-871c-96c0-551b-7d1467f2f059,c006,004,1647890135,2,0.74015,66.665615,2000,66194.602552,1530.0,877.0,29.0,75.586
113,pagerank,4,GPU-2a6e80db-871c-96c0-551b-7d1467f2f059,c006,004,1647890414,2,0.773234,66.555367,2000,66050.831406,1530.0,877.0,29.0,77.078
111,pagerank,5,GPU-2a6e80db-871c-96c0-551b-7d1467f2f059,c006,004,1647890692,2,0.792552,66.725285,2000,66209.43072199999,1530.0,877.0,29.0,75.586
218,pagerank,5,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,c005,007,1647899424,1,0.850892,66.579941,2000,66003.13464199999,1530.0,877.0,37.0,80.241
660,pagerank,2,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,c005,007,1647898591,1,0.974548,66.678309,2000,65975.84727600001,1530.0,877.0,37.0,80.241
378,pagerank,1,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,c005,007,1647898313,1,0.832338,66.559177,2000,65993.119215,1530.0,877.0,36.0,79.752
781,pagerank,4,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,c005,007,1647899147,1,0.86726,66.693092,2000,66099.108094,1530.0,877.0,37.0,80.241
511,pagerank,3,GPU-2fc5fbf8-ef33-bd2a-7360-caaa86db412b,c005,007,1647898869,1,0.843864,66.542753,2000,65972.128146,1530.0,877.0,37.0,80.241
129,pagerank,4,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,012,1647875093,1,0.840492,66.593831,2000,66009.52958,1530.0,877.0,46.0,84.101
507,pagerank,2,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,012,1647874538,1,0.980152,66.774673,2000,66067.873906,1530.0,877.0,46.0,83.986
94,pagerank,5,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,012,1647875370,1,0.837399,66.609377,2000,66040.141826,1530.0,877.0,45.0,83.993
833,pagerank,1,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,012,1647874260,1,0.849808,66.568887,2000,65992.946037,1530.0,877.0,45.0,83.986
642,pagerank,3,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,012,1647874816,1,0.857901,66.597682,2000,66006.456623,1530.0,877.0,46.0,84.101
283,pagerank,3,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,009,1647846515,0,0.921307,64.745584,2000,64092.968631,1530.0,877.0,37.0,86.78
598,pagerank,4,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,009,1647846797,0,0.918171,64.731144,2000,64072.371972,1530.0,877.0,37.0,87.024
153,pagerank,5,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,009,1647847076,0,0.922039,64.857278,2000,64200.184195,1530.0,877.0,37.0,87.024
699,pagerank,1,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,009,1647845902,0,1.030011,64.962939,2000,64194.335368,1530.0,877.0,36.0,86.602
340,pagerank,2,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,c009,009,1647846235,0,0.904055,64.772052,2000,64136.179659,1530.0,877.0,37.0,86.602
379,pagerank,5,GPU-358780d9-efe2-0546-7cfb-7e212e68b318,c007,003,1648048839,3,0.835923,66.875298,2000,66306.71472300001,1530.0,877.0,34.0,79.067
809,pagerank,3,GPU-358780d9-efe2-0546-7cfb-7e212e68b318,c007,003,1648048287,3,0.81982,66.832578,2000,66283.050089,1530.0,877.0,34.0,79.067
495,pagerank,1,GPU-358780d9-efe2-0546-7cfb-7e212e68b318,c007,003,1648047736,3,0.86013,66.880672,2000,66297.33568300001,1530.0,877.0,33.0,79.067
709,pagerank,2,GPU-358780d9-efe2-0546-7cfb-7e212e68b318,c007,003,1648048012,3,0.869499,66.627035,2000,66033.739692,1530.0,877.0,34.0,79.067
10,pagerank,4,GPU-358780d9-efe2-0546-7cfb-7e212e68b318,c007,003,1648048563,3,0.835603,66.613477,2000,66049.26522,1530.0,877.0,34.0,79.067
403,pagerank,3,GPU-366c4822-56b8-9745-03aa-41076d9884d7,c008,006,1648052768,2,0.898437,66.661263,2000,66030.779109,1530.0,877.0,37.0,81.731
295,pagerank,2,GPU-366c4822-56b8-9745-03aa-41076d9884d7,c008,006,1648052488,2,0.901132,66.706258,2000,66071.782856,1530.0,877.0,37.0,81.731
142,pagerank,4,GPU-366c4822-56b8-9745-03aa-41076d9884d7,c008,006,1648053048,2,0.913049,66.696095,2000,66058.276803,1530.0,877.0,37.0,81.731
475,pagerank,5,GPU-366c4822-56b8-9745-03aa-41076d9884d7,c008,006,1648053328,2,0.880273,66.634083,2000,66018.68155699999,1530.0,877.0,37.0,81.731
444,pagerank,1,GPU-366c4822-56b8-9745-03aa-41076d9884d7,c008,006,1648052207,2,0.935408,66.688207,2000,66019.611679,1530.0,877.0,37.0,81.731
716,pagerank,5,GPU-36a2e761-e9ef-c5ba-ba31-e0922a82694e,c008,003,1647899062,2,0.808223,66.548459,2000,66006.75123699999,1530.0,877.0,29.0,84.165
502,pagerank,2,GPU-36a2e761-e9ef-c5ba-ba31-e0922a82694e,c008,003,1647898224,2,0.881242,66.601375,2000,65996.142036,1530.0,877.0,29.0,84.165
604,pagerank,3,GPU-36a2e761-e9ef-c5ba-ba31-e0922a82694e,c008,003,1647898503,2,0.803663,66.537557,2000,65994.748124,1530.0,877.0,29.0,84.219
223,pagerank,4,GPU-36a2e761-e9ef-c5ba-ba31-e0922a82694e,c008,003,1647898783,2,0.829762,66.559199,2000,66006.571685,1530.0,877.0,29.0,84.219
805,pagerank,1,GPU-36a2e761-e9ef-c5ba-ba31-e0922a82694e,c008,003,1647897937,2,0.801677,66.608777,2000,66084.145503,1530.0,877.0,29.0,84.165
296,pagerank,2,GPU-397db984-3ad2-584f-0128-013b1bc93a75,c002,004,1648047773,0,0.901237,66.72274,2000,66077.258227,1530.0,877.0,34.0,84.731
433,pagerank,1,GPU-397db984-3ad2-584f-0128-013b1bc93a75,c002,004,1648047498,0,0.886077,66.724245,2000,66104.91866299999,1530.0,877.0,34.0,84.537
53,pagerank,3,GPU-397db984-3ad2-584f-0128-013b1bc93a75,c002,004,1648048048,0,0.795757,66.51699,2000,65989.206114,1530.0,877.0,34.0,85.034
551,pagerank,5,GPU-397db984-3ad2-584f-0128-013b1bc93a75,c002,004,1648048598,0,0.800011,66.704601,2000,66171.006017,1530.0,877.0,34.0,85.034
618,pagerank,4,GPU-397db984-3ad2-584f-0128-013b1bc93a75,c002,004,1648048323,0,0.803617,66.639223,2000,66110.82933499999,1530.0,877.0,34.0,85.034
270,pagerank,2,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,011,1647846408,0,1.050292,64.949239,2000,64167.593717,1530.0,877.0,38.0,80.559
343,pagerank,3,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,011,1647846689,0,0.938594,64.834733,2000,64155.985358,1530.0,877.0,39.0,80.559
63,pagerank,5,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,011,1647847248,0,0.91916,64.792877,2000,64137.318972,1530.0,877.0,39.0,80.559
404,pagerank,4,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,011,1647846969,0,1.201119,65.074514,2000,64133.991605,1530.0,877.0,38.0,80.559
428,pagerank,1,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,011,1647846125,0,1.634522,65.514322,2000,64153.381774,1530.0,877.0,38.0,80.507
652,pagerank,5,GPU-3a642ff7-9956-418f-785e-9ea808fa8b98,c009,003,1648047525,0,0.884925,66.774091,2000,66163.958959,1530.0,877.0,30.0,86.154
602,pagerank,1,GPU-3a642ff7-9956-418f-785e-9ea808fa8b98,c009,003,1648046405,0,0.990976,66.877651,2000,66159.061456,1530.0,877.0,30.0,86.098
474,pagerank,3,GPU-3a642ff7-9956-418f-785e-9ea808fa8b98,c009,003,1648046965,0,0.859656,66.66889,2000,66074.455401,1530.0,877.0,30.0,86.154
118,pagerank,4,GPU-3a642ff7-9956-418f-785e-9ea808fa8b98,c009,003,1648047245,0,0.896077,66.777434,2000,66153.47688999999,1530.0,877.0,30.0,86.154
336,pagerank,2,GPU-3a642ff7-9956-418f-785e-9ea808fa8b98,c009,003,1648046685,0,0.858237,66.959011,2000,66377.68555,1530.0,877.0,30.0,86.154
