exp,input_size,reps,uuid,cabinet,node,ts,kern,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr,dev_id
sgemm,25536,100,GPU-b59451a2-3e87-0201-d457-a40bb2a9c791,-1,-1,-1,volta_sgemm_128x32_sliced1x4_nn,290.975001,535.583981,100,2471.257847,1335,877,73,298.045,0
sgemm,25536,100,GPU-54c1d603-08d6-484d-7278-c7f6510186a7,-1,-1,1589952861,volta_sgemm_128x32_sliced1x4_nn,290.291081,541.934664,100,2542.240724,1305,877,67,298.348,0
sgemm,25536,100,GPU-5e58c293-cd93-66ea-3997-1f57886b0f34,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.348822,532.443696,100,2445.542245,1357,877,62,296.986,0
sgemm,25536,100,GPU-888400a3-ad69-06a6-f9e8-f95e7a26eee0,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,290.324213,525.963632,100,2380.440571,1395,877,63,297.107,0
sgemm,25536,100,GPU-ce1f0cbf-84fd-8331-33f5-fc4db3857062,-1,-1,1589952862,volta_sgemm_128x32_sliced1x4_nn,289.91034,540.688998,100,2533.64448,1312,877,74,296.986,0
sgemm,25536,100,GPU-419cbcc8-4360-5dd5-33fd-5babe4429d74,-1,-1,1589952831,volta_sgemm_128x32_sliced1x4_nn,290.072382,525.509807,100,2378.317224,1395,877,65,297.182,0
sgemm,25536,100,GPU-e9caf4fd-24f3-90d5-e8c1-b64c4bad77fc,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.068607,530.808396,100,2432.30149,1365,877,68,296.603,0
sgemm,25536,100,GPU-04235f8f-fa10-59dd-9f6a-41c1a14f654c,-1,-1,1589952850,volta_sgemm_128x32_sliced1x4_nn,290.564697,524.158168,100,2359.721041,1410,877,56,297.274,0
sgemm,25536,100,GPU-7f834b6a-398e-49fa-5834-b786655b7138,-1,-1,1589952849,volta_sgemm_128x32_sliced1x4_nn,290.382233,533.97766,100,2461.254878,1350,877,72,297.574,0
sgemm,25536,100,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,295.020294,539.776404,100,2472.46852,1335,877,61,297.667,0
sgemm,25536,100,GPU-c800a7cb-969d-9735-8a94-87cc915127ce,-1,-1,1589952846,volta_sgemm_128x32_sliced1x4_nn,294.639992,533.158272,100,2409.133796,1380,877,59,297.395,0
sgemm,25536,100,GPU-05942aeb-25bb-39fd-a337-cfa596352270,-1,-1,1589952840,volta_sgemm_128x32_sliced1x4_nn,290.983701,535.014876,100,2465.441347,1342,877,73,297.955,0
sgemm,25536,100,GPU-e4cee4d1-f9f3-93d1-b725-6a84b6cc3f29,-1,-1,1589952831,volta_sgemm_128x32_sliced1x4_nn,290.085198,539.089036,100,2515.488429,1312,877,73,297.274,0
sgemm,25536,100,GPU-a0ea1449-7265-a428-5647-4d88147ddcd9,-1,-1,1589952841,volta_sgemm_128x32_sliced1x4_nn,291.387902,528.963591,100,2399.838153,1387,877,62,296.697,0
sgemm,25536,100,GPU-02899afa-3f47-50af-f1c1-3df54389d406,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,294.012604,539.385058,100,2478.823857,1342,877,70,297.378,0
sgemm,25536,100,GPU-dab2217f-f4d6-36cb-875c-9a9b133fc750,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,290.338342,536.497911,100,2486.882704,1335,877,70,297.395,0
sgemm,25536,100,GPU-70222c02-791d-6b1b-c846-e10c1922057f,-1,-1,1589952837,volta_sgemm_128x32_sliced1x4_nn,291.539953,535.011759,100,2459.53902,1357,877,65,296.501,0
sgemm,25536,100,GPU-76b7b28b-ba85-737b-083e-2b63b6da7bf3,-1,-1,1589952846,volta_sgemm_128x32_sliced1x4_nn,290.999775,532.143112,100,2435.822418,1365,877,57,297.182,0
sgemm,25536,100,GPU-d81f661a-c117-c5a3-fc5e-0ef6cca17875,-1,-1,1589933531,volta_sgemm_128x32_sliced1x4_nn,291.433933,534.418954,100,2454.550643,1357,877,61,297.5,0
sgemm,25536,100,GPU-330bb1f3-a1f9-4be5-3cf4-293e48a14042,-1,-1,1589951691,volta_sgemm_128x32_sliced1x4_nn,290.350098,531.956969,100,2440.468459,1357,877,54,296.212,0
sgemm,25536,100,GPU-366c4822-56b8-9745-03aa-41076d9884d7,-1,-1,1589952855,volta_sgemm_128x32_sliced1x4_nn,291.815473,532.739464,100,2434.159531,1357,877,82,293.134,0
sgemm,25536,100,GPU-b178aba3-3f4d-78c2-c666-aa3fb1cc43d1,c008,5,1593120780,volta_sgemm_128x32_sliced1x4_nn,290.496384,532.651678,100,2446.469908,1357,877,78,295.754,0
sgemm,25536,100,GPU-e83e370f-2d78-0c98-ebf3-3dfb05c88241,c005,10,1593410651,volta_sgemm_128x32_sliced1x4_nn,301.162585,549.11387,100,2504.653388,1327,877,58,295.923,0
sgemm,25536,100,GPU-2ce0bf93-f10d-dc28-ccd9-9b717f694600,c003,10,1593503602,volta_sgemm_128x32_sliced1x4_nn,290.432953,524.38564,100,2363.33549,1402,877,63,295.914,0
sgemm,25536,100,GPU-e1342d2b-9672-84a6-3f4f-793c5cec8f2f,c006,8,1593120779,volta_sgemm_128x32_sliced1x4_nn,290.506917,533.402668,100,2453.842633,1357,877,71,296.79,0
sgemm,25536,100,GPU-3f14f1fc-8166-67d7-27f9-138084c02047,c004,10,1593128842,volta_sgemm_128x32_sliced1x4_nn,290.321972,533.461771,100,2456.105357,1350,877,64,297.561,0
sgemm,25536,100,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,12,1593465588,volta_sgemm_128x32_sliced1x4_nn,290.70925,534.202328,100,2460.168459,1350,877,71,296.79,0
sgemm,25536,100,GPU-5bef6edb-1abb-8f9c-b381-8025163b6743,c009,11,1593360823,volta_sgemm_128x32_sliced1x4_nn,297.716922,536.819893,100,2415.235255,1372,877,58,297.47,0
sgemm,25536,100,GPU-e9caf4fd-24f3-90d5-e8c1-b64c4bad77fc,c009,11,1593357566,volta_sgemm_128x32_sliced1x4_nn,290.333986,531.977072,100,2441.731949,1357,877,69,296.603,0
sgemm,25536,100,GPU-b178aba3-3f4d-78c2-c666-aa3fb1cc43d1,c008,5,1593122723,volta_sgemm_128x32_sliced1x4_nn,293.718984,535.885364,100,2446.71248,1357,877,78,296.24,0
sgemm,25536,100,GPU-05a855f3-65a0-23e1-9d96-7b4140252d90,c009,7,1593415063,volta_sgemm_128x32_sliced1x4_nn,290.475291,536.159126,100,2482.015071,1335,877,63,298.152,0
sgemm,25536,100,GPU-325987a2-86cc-2265-615b-14bfeee98170,c009,12,1593411185,volta_sgemm_128x32_sliced1x4_nn,290.589013,534.068755,100,2459.950582,1357,877,72,295.821,0
