,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
108,resnet,3,c199,12,0,186.389346,0.137059424,0.13538063,7.607048991,0.128994899,GPU-34b99a2e-8dad-828c-2378-4e6ba69fea92
109,resnet,3,c199,12,1,186.389346,0.135663255,0.134135491,7.788519818,0.127883785,GPU-d12201c4-69ff-dc42-0f17-ab706f5d15a4
110,resnet,3,c199,12,2,186.389346,0.139046184,0.137532599,7.568780892,0.129748708,GPU-e4affe09-bd00-a695-4ea1-05b82723b085
111,resnet,3,c199,12,3,186.389346,0.136497453,0.13530299,7.557847033,0.128888123,GPU-395c16d1-f21b-a32f-775d-55f987207a84
112,resnet,2,c198,71,0,185.880494,0.135716795,0.134188197,7.317026336,0.127879175,GPU-e766b213-7de5-c977-45b0-deecb351612a
113,resnet,2,c198,71,1,185.880494,0.137336087,0.135738215,7.490548711,0.128669896,GPU-e8f7ef46-1905-975f-7b59-c4413d78194b
114,resnet,2,c198,71,2,185.880494,0.136595376,0.135017286,7.475126295,0.128675458,GPU-95ae48ac-4588-2d14-c275-a917d4c19910
115,resnet,2,c198,71,3,185.880494,0.136570829,0.135216487,7.306111992,0.128466529,GPU-f33f0390-bd96-6b4f-4b71-2c83e9051d8d
116,resnet,2,c196,42,0,185.915896,0.137016373,0.135091631,7.359335813,0.129034851,GPU-76b58ef4-9322-a869-13c5-fdebd7f266c5
117,resnet,2,c196,42,1,185.915896,0.136184129,0.13501846,7.29414371,0.128764114,GPU-73ea3093-4f70-104d-ac0c-53398037296b
118,resnet,2,c196,42,2,185.915896,0.138045816,0.136616814,7.277525695,0.129842069,GPU-1769e88d-4e21-c6fa-e5d2-bf0c2d55e5df
119,resnet,2,c196,42,3,185.915896,0.138092448,0.136185694,7.493831929,0.130547505,GPU-c8d2f290-bf0b-38a3-7a49-071453c4f99b
120,resnet,2,c197,11,0,186.140605,0.137186713,0.135824229,7.505240579,0.129714625,GPU-fafe9cbe-b2eb-4485-d932-1974c72d1c8b
121,resnet,2,c197,11,1,186.140605,0.138145322,0.137028555,7.739210382,0.130049411,GPU-2a207d8e-5f5f-4ff4-1503-7eaece7d78ed
122,resnet,2,c197,11,2,186.140605,0.136273552,0.135033866,7.466157884,0.128161349,GPU-ed23808c-ce4f-bd1e-e90f-2d0b0cad5e5c
123,resnet,2,c197,11,3,186.140605,0.134930047,0.1337103,7.538844881,0.127522828,GPU-a801c2db-db60-853a-1739-8d5ca477dd98
124,resnet,2,c199,71,0,186.254797,0.13769337,0.13688974,7.269348003,0.129610643,GPU-0d08d63c-f45d-2753-d3b2-e48b8476be85
125,resnet,2,c199,71,1,186.254797,0.136597976,0.13525942,7.286620221,0.130093371,GPU-5a5489d9-baae-b03e-19f4-f939b3d671f3
126,resnet,2,c199,71,2,186.254797,0.136262032,0.134845984,7.321135197,0.128328129,GPU-94a3f477-4960-ba6e-e644-f14641b2e8d1
127,resnet,2,c199,71,3,186.254797,0.137627726,0.136566336,7.315977967,0.129397353,GPU-600b75fa-9338-6bde-056e-b14fe9798e31
128,resnet,0,c199,32,0,192.339242,0.137072364,0.135646323,11.01387597,0.125803927,GPU-a0d496ca-6e6c-c03e-72d7-4e922eb03524
