cabinet,device,model,node,perf_avg,perf,run,uuid
c197,0,pagerank,82,1291892.683,2586369152,0,GPU-352c6a6a-c453-870b-ed58-f85419f4ed96
c196,2,pagerank,111,1293024.543,2588635136,3,GPU-98329a94-3d69-3633-1464-caaa5d7eb597
c196,0,pagerank,62,1292243.724,2587071936,3,GPU-b5bfd8f4-1af1-1d42-7e61-4418fb73e9b5
c196,0,pagerank,41,1290247.417,2583075328,4,GPU-75c0fcde-593b-1c25-f8c6-fdbc09fd9dd0
c197,2,pagerank,91,1291757.682,2586098880,1,GPU-9d1494f3-7b1d-4a90-f7df-4e991dfdc586
c196,3,pagerank,111,1293483.285,2589553536,0,GPU-281d233d-28c7-f5dd-f4c1-48837c021bb4
c197,1,pagerank,52,1292936.839,2588459552,4,GPU-c5f70823-cc61-16ec-33f8-4c51aec4b322
c198,0,pagerank,101,1291584.112,2585751392,3,GPU-33c24d68-8734-d4da-c775-4a201cad9aa5
c197,2,pagerank,82,1291896.376,2586376544,0,GPU-a1b245cd-418c-e668-f727-832c29d8c35e
c198,3,pagerank,21,1292773.019,2588131584,4,GPU-57961912-db52-59c7-9368-928374594f69
c198,3,pagerank,101,1292960.288,2588506496,4,GPU-25b05cf8-e375-3e64-4d3c-da3563b568d8
c198,2,pagerank,51,1293145.862,2588878016,1,GPU-184cd5cd-30f3-ab6c-087e-32235d88b6d1
c199,0,pagerank,41,1292658.462,2587902240,2,GPU-38fb88f3-6d40-fa84-e966-b9e167d489f2
c197,0,pagerank,31,1292125.379,2586835008,0,GPU-71bcc6c0-1e24-2bda-31ec-d6ff86f0ff88
c199,0,pagerank,72,1291923.852,2586431552,2,GPU-b4bfcb5d-f7bb-0d5a-8e0f-5faaad3a4266
c197,3,pagerank,61,1291835.524,2586254720,4,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
c199,1,pagerank,112,1292413.65,2587412128,0,GPU-6defb7e1-ec8a-762f-09bb-19c9dfed1fa7
c198,0,pagerank,42,1291597.938,2585779072,0,GPU-8b39353e-133c-96d0-7b5f-4195d9c60bae
c199,3,pagerank,22,1292516.955,2587618944,1,GPU-884929c9-b02c-10ae-94b8-c21abc0c04ca
c197,3,pagerank,61,1292398.386,2587381568,2,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
c199,3,pagerank,91,1292525.89,2587636832,1,GPU-4ca34e5c-9d4d-7500-1b50-45a9e3632b9c
c198,3,pagerank,71,1292620.116,2587825472,4,GPU-f33f0390-bd96-6b4f-4b71-2c83e9051d8d
c196,1,pagerank,62,1292648.951,2587883200,0,GPU-4cae3e04-8317-7130-c33d-f596fe441d34
c197,3,pagerank,42,1293255.576,2589097664,2,GPU-38eb2c79-832a-3b04-28ec-5a4382b19797
c198,0,pagerank,32,1292129.359,2586842976,4,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132
c198,0,pagerank,42,1292140.787,2586865856,4,GPU-8b39353e-133c-96d0-7b5f-4195d9c60bae
c198,3,pagerank,51,1292306.478,2587197568,3,GPU-eeffef8a-c5b5-54ca-5c89-74cc4d0fcb7f
c197,2,pagerank,51,1292483.548,2587552064,3,GPU-8781868c-f755-7017-4263-ef3e2113b959
c196,2,pagerank,101,1291688.056,2585959488,4,GPU-59888e95-002d-ca96-882f-16208da56b2a
c199,1,pagerank,32,1291170.733,2584923808,1,GPU-fbf31e80-3a2a-d9d7-b35c-ac2c3d01e527
c198,1,pagerank,62,1293067.381,2588720896,2,GPU-d5368684-33cf-978b-0f0a-d6b452a772ec
c199,0,pagerank,72,1292520.072,2587625184,4,GPU-b4bfcb5d-f7bb-0d5a-8e0f-5faaad3a4266
c197,1,pagerank,72,1292331.125,2587246912,3,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
c198,3,pagerank,32,1292131.373,2586847008,0,GPU-43623410-8a47-f44a-5978-f99f91714d4a
c197,1,pagerank,42,1293670.697,2589928736,4,GPU-e5de72d6-7749-c28e-d3e5-af585c8f6213
c198,3,pagerank,62,1293186.142,2588958656,0,GPU-79ff28a8-e91f-59e8-31fc-f54fefb4b86f
c196,0,pagerank,111,1292925.922,2588437696,0,GPU-ed649eb4-e3a2-d251-d3d7-0c1cd9c53e67
c198,1,pagerank,71,1291558.729,2585700576,0,GPU-e8f7ef46-1905-975f-7b59-c4413d78194b
c198,2,pagerank,52,1291761.263,2586106048,3,GPU-5ec42052-a823-22df-2360-7446ff0c18c5
c199,3,pagerank,32,1291380.06,2585342880,2,GPU-9bd67376-b2fd-3b6a-b99e-a3b0fea3bf71
c196,3,pagerank,112,1292163.325,2586910976,4,GPU-28bc785d-24b0-f3b2-d63b-0439ccd22df3
c198,2,pagerank,91,1292548.444,2587681984,3,GPU-6714c080-bb14-aa46-9372-084f31f55acd
c196,2,pagerank,101,1291795.021,2586173632,1,GPU-59888e95-002d-ca96-882f-16208da56b2a
c198,0,pagerank,32,1292863.856,2588313440,2,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132
c198,0,pagerank,31,1292344.248,2587273184,0,GPU-6194ad26-be16-ef55-8bee-fc9b89e5fa1b
c197,3,pagerank,51,1291940.939,2586465760,0,GPU-7d54391f-8197-2f8f-759c-bf8e22af7edd
c199,2,pagerank,111,1292795.652,2588176896,4,GPU-2c2f4b40-f274-9088-55a0-76fe1844dc46
c196,1,pagerank,62,1292850.525,2588286752,2,GPU-4cae3e04-8317-7130-c33d-f596fe441d34
c198,1,pagerank,91,1292087.896,2586759968,0,GPU-b945e99b-f46f-6301-8e9e-9b0745904a44
c198,1,pagerank,111,1292328.519,2587241696,4,GPU-00ccd5ea-1163-8b1b-b814-37f30b32424a
c197,0,pagerank,71,1292334.05,2587252768,1,GPU-54fa87de-4d12-eaaf-c2eb-0966ce44ae82
c197,0,pagerank,101,1292638.178,2587861632,4,GPU-be442cc8-e87b-3a0e-feec-2950f955c165
c196,2,pagerank,101,1291536.368,2585655808,0,GPU-59888e95-002d-ca96-882f-16208da56b2a
c197,0,pagerank,101,1292760.376,2588106272,0,GPU-be442cc8-e87b-3a0e-feec-2950f955c165
c196,0,pagerank,102,1291872.767,2586329280,3,GPU-b11d2b95-f951-0140-409e-20aef552a185
c198,2,pagerank,41,1288875.956,2580329664,0,GPU-4abbc4b6-679f-e936-1f4f-2b8b6ed78b82
c199,3,pagerank,82,1291443.932,2585470752,1,GPU-76a0747f-3a2e-017f-bffa-9df46cda0272
c198,1,pagerank,72,1292930.414,2588446688,0,GPU-53816c16-823d-8bb6-6edb-c0b8702b194c
c197,1,pagerank,51,1292271.409,2587127360,4,GPU-e7140764-128a-08f8-06d2-19d316b4c5e9
c199,3,pagerank,32,1291512.567,2585608160,0,GPU-9bd67376-b2fd-3b6a-b99e-a3b0fea3bf71
c196,3,pagerank,112,1292201.351,2586987104,0,GPU-28bc785d-24b0-f3b2-d63b-0439ccd22df3
c199,3,pagerank,32,1291706.581,2585996576,1,GPU-9bd67376-b2fd-3b6a-b99e-a3b0fea3bf71
c197,0,pagerank,72,1292345.702,2587276096,4,GPU-f57e8247-4e51-787e-d125-1b16a8cf4582
c196,3,pagerank,51,1290681.59,2583944544,4,GPU-860904c1-f889-b0fe-8aaf-46b473179477
c198,0,pagerank,82,1292618.246,2587821728,2,GPU-7519be0c-5784-c7dd-dbee-0c4638887f8b
c199,2,pagerank,32,1291450.597,2585484096,0,GPU-a075f73c-0500-a59d-c3aa-f81a8f646866
c196,1,pagerank,102,1291738.054,2586059584,2,GPU-8cf8b7e3-1dbb-79cc-ff49-06458b355977
c197,1,pagerank,72,1292290.494,2587165568,0,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
c196,0,pagerank,61,1292899.197,2588384192,1,GPU-54b0ffff-07a5-0a2d-e650-399d44a93846
c197,2,pagerank,71,1292081.838,2586747840,4,GPU-ef18abbb-b16e-1103-bd10-113c3a2d7ef9
c196,1,pagerank,51,1292337.135,2587258944,1,GPU-f5092fe4-1eda-aa7e-4bbc-28bf670c51e3
c198,0,pagerank,82,1292689.934,2587965248,3,GPU-7519be0c-5784-c7dd-dbee-0c4638887f8b
c197,1,pagerank,82,1291933.283,2586450432,0,GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f
c197,3,pagerank,82,1291827.964,2586239584,3,GPU-c670953f-2c4d-e864-d621-a7e832aa6e89
c197,2,pagerank,92,1292856.871,2588299456,3,GPU-28c301cb-dc08-2d35-dde8-9af7a74841b4
c198,1,pagerank,61,1292584.088,2587753344,0,GPU-5febc5f0-1d80-e5b9-0b6d-0eb6cf811dc9
c198,0,pagerank,102,1291578.901,2585740960,0,GPU-636afae8-ff9a-ed5b-bfad-61cf034069d0
c197,1,pagerank,71,1292702.162,2587989728,1,GPU-d4c4457d-9f9b-fdf7-a509-d5e63934ca43
c199,2,pagerank,101,1291950.897,2586485696,2,GPU-417fc0d8-6d06-9fd8-66cf-ded92981c5a8
c197,3,pagerank,101,1292664.312,2587913952,2,GPU-9aa7e618-e7af-2781-3e37-392aa3999d08
c199,0,pagerank,101,1292178.605,2586941568,0,GPU-f9d29720-d192-a337-b70c-88e33f77a449
c197,0,pagerank,42,1292955.94,2588497792,1,GPU-1fdce80d-b1ac-d651-6449-82e28948b1ff
c198,2,pagerank,81,1290948.284,2584478464,3,GPU-98fc0c16-5dbe-a189-8509-c8655d7c7c15
c198,3,pagerank,102,1291543.209,2585669504,1,GPU-074a701e-a9a6-1565-eae2-094045778415
c198,3,pagerank,112,1292709.594,2588004608,3,GPU-43cf53c1-d58c-dcf9-2447-28b265473b00
c196,0,pagerank,71,1292263.544,2587111616,3,GPU-ff79558e-5b2e-0218-ddd1-4026a868279c
c198,0,pagerank,32,1293150.306,2588886912,0,GPU-e2981715-9b3e-ad31-a9d4-21e98412c132
c198,3,pagerank,91,1292361.047,2587306816,0,GPU-c5ac2b5a-999d-bab8-ae17-ee30e425cbb7
