,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
85,bert,5,c197,81,1,0,0.177788196,0.177752926,3.327271169,0.173992338,GPU-8897bbdb-9892-31c2-53e9-4d11dd5ad235
86,bert,5,c197,81,2,0,0.180255166,0.18016417,3.336242833,0.17739974,GPU-f66719ae-228c-d446-aaf9-e8b6f0ddffd5
87,bert,5,c197,81,3,0,0.178961361,0.178909857,3.322417499,0.176623586,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
88,bert,4,c199,51,0,0,0.179511246,0.179611674,3.274217134,0.173854715,GPU-22307102-b01c-f796-80aa-d85d42354fe0
89,bert,4,c199,51,1,0,0.178916101,0.178961979,3.325234267,0.176454475,GPU-acb8a3f7-fa5a-5a5c-2c9f-c4d60460e49b
90,bert,4,c199,51,2,0,0.178081193,0.177909363,3.305208712,0.17517465,GPU-864b73c8-4d03-258b-61d0-abf4353ce679
91,bert,4,c199,51,3,0,0.178710197,0.178793038,3.328534103,0.17412145,GPU-e0e5231e-df3e-80a2-81b0-0df205205d90
92,bert,3,c198,91,0,0,0.179086588,0.17912824,3.301786543,0.176182007,GPU-bb8dace1-f2e6-e7ac-45af-8a1ec14c94df
93,bert,3,c198,91,1,0,0.178422501,0.178473712,3.304693119,0.172742579,GPU-b945e99b-f46f-6301-8e9e-9b0745904a44
94,bert,3,c198,91,2,0,0.179767182,0.179735911,3.309410274,0.176927137,GPU-6714c080-bb14-aa46-9372-084f31f55acd
95,bert,3,c198,91,3,0,0.177854191,0.177714543,3.291038389,0.175452646,GPU-c5ac2b5a-999d-bab8-ae17-ee30e425cbb7
96,bert,5,c199,101,0,0,0.179288665,0.179234172,3.356954752,0.176023675,GPU-f9d29720-d192-a337-b70c-88e33f77a449
97,bert,5,c199,101,1,0,0.178243901,0.178216466,3.356584516,0.173690027,GPU-3566d686-55d3-7d45-8edf-380002984cd5
98,bert,5,c199,101,2,0,0.179652094,0.179653171,3.35458557,0.17425454,GPU-417fc0d8-6d06-9fd8-66cf-ded92981c5a8
99,bert,5,c199,101,3,0,0.178151586,0.177993724,3.347324641,0.175257866,GPU-2aad00f6-c880-f072-24b7-e548f74a548b
100,bert,5,c199,62,0,0,0.179440368,0.179474315,3.319793091,0.176070569,GPU-d9b2c0cc-1c52-9529-73e9-c564f3a98199
101,bert,5,c199,62,1,0,0.17784531,0.177794148,3.326272602,0.172093806,GPU-c41b5497-6287-2cdf-64c0-3dd6a936851a
102,bert,5,c199,62,2,0,0.179247319,0.179202819,3.328385914,0.176241613,GPU-ac0ae492-caa6-f1b7-7df4-b355b8117482
103,bert,5,c199,62,3,0,0.177285144,0.177207257,3.327931344,0.173579001,GPU-27a9d007-e385-5a7a-3933-8818ddfedd56
104,bert,1,c197,61,0,0,0.178578895,0.178521977,3.285851035,0.173990015,GPU-ee8d6575-04ef-d96a-7049-9a792b589fd4
105,bert,1,c197,61,1,0,0.178924778,0.178876623,3.295810727,0.176189585,GPU-e3882ba0-d81b-7e06-0f61-e6b6899673ca
106,bert,1,c197,61,2,0,0.178850237,0.178824782,3.275112108,0.176163895,GPU-01b31d42-2339-500c-e226-c152144e6af3
107,bert,1,c197,61,3,0,0.178417106,0.178418633,3.289486011,0.17578181,GPU-e0929bd0-34e9-53c6-4d22-f0f1c0daa3ef
108,bert,4,c198,12,0,0,0.179334773,0.179309252,3.174457979,0.173678214,GPU-d72b4ef9-189e-8484-bcf2-5a9dfc7dfb9a
109,bert,4,c198,12,1,0,0.179389737,0.179390546,3.145003578,0.17265294,GPU-519f1f60-010a-8272-c9d5-55ea4ed898d0
110,bert,4,c198,12,2,0,0.179392727,0.179258688,3.297253026,0.176772616,GPU-e7973b03-d6c5-dad0-053b-5fc14adc5ba3
111,bert,4,c198,12,3,0,0.178439349,0.178430411,3.099271022,0.176183195,GPU-650216f5-5261-df99-c863-32751788b254
112,bert,0,c196,71,0,0,0.180643586,0.18057017,5.409693042,0.177743289,GPU-ff79558e-5b2e-0218-ddd1-4026a868279c
113,bert,0,c196,71,1,0,0.177727541,0.177580743,5.373236915,0.174331297,GPU-eea21d9b-86da-4f67-a5ec-953136260696
114,bert,0,c196,71,2,0,0.178618646,0.178597077,5.385693595,0.175898641,GPU-a443a153-8c68-a285-e46b-32247ba74fb8
115,bert,0,c196,71,3,0,0.177841306,0.177708476,5.354188859,0.174055012,GPU-5630a182-4df4-d329-d517-411ea9194b0f
116,bert,2,c196,102,0,0,0.179450851,0.179391478,3.250383066,0.176705114,GPU-b11d2b95-f951-0140-409e-20aef552a185
117,bert,2,c196,102,1,0,0.178475836,0.178411206,3.247360479,0.175863993,GPU-8cf8b7e3-1dbb-79cc-ff49-06458b355977
118,bert,2,c196,102,2,0,0.177870519,0.17790942,3.25059143,0.17517479,GPU-785e5384-b9db-5ffb-159c-bf337727844d
119,bert,2,c196,102,3,0,0.177354538,0.177132732,3.275091209,0.174411216,GPU-3c7bacce-95d6-45a6-737f-cccf4ec93d09
120,bert,3,c196,62,0,0,0.179137627,0.179123406,3.334239145,0.176447357,GPU-b5bfd8f4-1af1-1d42-7e61-4418fb73e9b5
121,bert,3,c196,62,1,0,0.177753177,0.1776329,3.335115097,0.172678224,GPU-4cae3e04-8317-7130-c33d-f596fe441d34
122,bert,3,c196,62,2,0,0.17971831,0.179640025,3.318817492,0.176541259,GPU-9f233605-62c7-c998-3c19-8051b138d7a8
123,bert,3,c196,62,3,0,0.177880651,0.177804923,3.334206217,0.175045053,GPU-9e51dd33-ce17-5832-e3f3-257032c14eee
124,bert,2,c197,52,0,0,0.178048005,0.178055256,3.483812027,0.17457314,GPU-2dc89359-41b9-de5c-f0f5-cde6b995528d
125,bert,2,c197,52,1,0,0.178290637,0.178284667,3.464876218,0.175741476,GPU-c5f70823-cc61-16ec-33f8-4c51aec4b322
126,bert,2,c197,52,2,0,0.178906006,0.1789278,3.478756889,0.175988791,GPU-909ad533-be3d-53c7-971f-c2fb3abe476c
127,bert,2,c197,52,3,0,0.177738301,0.177701156,3.474538365,0.171329127,GPU-34bbfc77-1de8-6792-3317-23172e47e70d
128,bert,2,c198,41,0,0,0.179405323,0.179313353,3.276477732,0.176846991,GPU-af0701a0-ee55-62f4-1e37-f07b74cd0924
129,bert,2,c198,41,1,0,0.178474591,0.17839597,3.224723115,0.175867248,GPU-41e127b9-0b0e-32e9-5b6b-d83fe8af11ed
130,bert,2,c198,41,2,0,0.178797811,0.178800839,3.219460318,0.17444416,GPU-4abbc4b6-679f-e936-1f4f-2b8b6ed78b82
131,bert,2,c198,41,3,0,0.177503491,0.177441873,3.252990826,0.173139773,GPU-a03d715d-4024-81ef-a370-dc9d02d1a27b
132,bert,1,c197,81,0,0,0.179363316,0.179331126,3.347756589,0.177238123,GPU-24db6353-9910-8780-3dfe-d56835bd23fa
133,bert,1,c197,81,1,0,0.178292663,0.178267007,3.340918873,0.174932887,GPU-8897bbdb-9892-31c2-53e9-4d11dd5ad235
134,bert,1,c197,81,2,0,0.179770036,0.17974333,3.328838328,0.177247047,GPU-f66719ae-228c-d446-aaf9-e8b6f0ddffd5
135,bert,1,c197,81,3,0,0.178290885,0.178241201,3.345464906,0.176032132,GPU-5a37a5ad-daef-2766-51c4-333af47cc972
136,bert,3,c198,41,0,0,0.179824726,0.17978574,3.351428908,0.176838682,GPU-af0701a0-ee55-62f4-1e37-f07b74cd0924
137,bert,3,c198,41,1,0,0.178724024,0.178690474,3.355167262,0.176227163,GPU-41e127b9-0b0e-32e9-5b6b-d83fe8af11ed
138,bert,3,c198,41,2,0,0.178831034,0.178827663,3.362752794,0.176544937,GPU-4abbc4b6-679f-e936-1f4f-2b8b6ed78b82
