exp,cabinet,node,device,uuid,mean_iter_dur_mean,perf,train_time_mean,train_time_median,norm_perf
resnet,c315,12,2,c315-12-2,0.025811843,0.025880187,25.86996617,25.7665385,1.023746717
resnet,c315,13,0,c315-13-0,0.025534981,0.025377996,28.50531333,26.544972,1.003881467
resnet,c315,13,1,c315-13-1,0.024917604,0.02487299,25.74447333,25.6924935,0.983904864
resnet,c315,13,2,c315-13-2,0.025191722,0.025330153,26.18491733,26.313743,1.001988934
resnet,c315,14,0,c315-14-0,0.025545649,0.025461461,27.33037517,26.9707175,1.007183106
resnet,c315,14,1,c315-14-1,0.025523466,0.025742013,26.4857825,26.4400005,1.018280946
resnet,c315,14,2,c315-14-2,0.025633166,0.025607231,26.346835,26.360581,1.012949353
resnet,c315,15,0,c315-15-0,0.025842407,0.026057162,27.33886433,27.080466,1.030747346
resnet,c315,15,1,c315-15-1,0.025552957,0.025824851,26.35474017,26.423482,1.021557782
resnet,c315,15,2,c315-15-2,0.025043668,0.024456736,26.175595,26.206835,0.967439037
resnet,c315,16,0,c315-16-0,0.025282055,0.025026191,27.144119,26.6269355,0.98996506
resnet,c315,16,1,c315-16-1,0.025629898,0.025767808,26.51096833,26.4837825,1.019301323
resnet,c315,16,2,c315-16-2,0.024934053,0.025004099,26.27694167,26.180216,0.989091164
resnet,c316,1,0,c316-1-0,0.026001693,0.026245861,27.18344383,27.323907,1.038211743
resnet,c316,1,1,c316-1-1,0.02537767,0.024995931,25.84865317,25.684997,0.988768061
resnet,c316,1,2,c316-1-2,0.024663818,0.02465824,25.77112317,25.794662,0.975409963
resnet,c316,2,0,c316-2-0,0.027556293,0.027592254,31.095774,31.0998415,1.091471227
resnet,c316,2,1,c316-2-1,0.025405207,0.025437228,26.1116955,26.019224,1.006224517
resnet,c316,2,2,c316-2-2,0.025159111,0.025078282,26.085844,26.2449555,0.992025632
resnet,c316,3,0,c316-3-0,0.027337202,0.027314177,33.09649,31.2007125,1.08047129
resnet,c316,3,1,c316-3-1,0.025830746,0.026078633,25.9400315,25.958152,1.031596678
resnet,c316,3,2,c316-3-2,0.025358961,0.025323007,25.94730533,26.063083,1.001706259
resnet,c316,7,0,c316-7-0,0.025264324,0.025223332,26.82863067,26.6408225,0.997763399
resnet,c316,7,1,c316-7-1,0.025779189,0.026075501,26.4681805,26.3159835,1.031472785
resnet,c316,7,2,c316-7-2,0.025120379,0.024961064,26.1647825,26.068617,0.987388821
resnet,c316,8,0,c316-8-0,0.054283337,0.054117751,55.18377617,54.9638925,2.140744576
resnet,c316,8,1,c316-8-1,0.054934976,0.055641402,54.1695955,54.559071,2.201015883
resnet,c316,8,2,c316-8-2,0.054657054,0.054873652,54.20034867,54.2155715,2.170645873
resnet,c316,9,0,c316-9-0,0.025496028,0.025729457,26.23878383,26.310847,1.017784267
resnet,c316,9,1,c316-9-1,0.024702467,0.024824365,25.06733,24.995428,0.981981397
resnet,c316,9,2,c316-9-2,0.0246174,0.024396363,25.17201917,24.936586,0.965050853
resnet,c316,10,0,c316-10-0,0.025352662,0.025680464,26.936017,26.9050305,1.015846243
resnet,c316,10,1,c316-10-1,0.024907753,0.024865963,26.09839,26.06537,0.983626896
resnet,c316,10,2,c316-10-2,0.024850807,0.024938602,26.063178,25.992574,0.986500288
resnet,c316,11,0,c316-11-0,0.025238596,0.025474017,27.00629333,27.000345,1.007679785
resnet,c316,11,1,c316-11-1,0.025717772,0.025726858,26.50744667,26.6645535,1.017681457
resnet,c316,11,2,c316-11-2,0.024854372,0.024627417,26.13020317,26.1934145,0.974190693
resnet,c316,12,0,c316-12-0,0.025575688,0.025234377,26.95235383,26.604345,0.998200307
resnet,c316,12,1,c316-12-1,0.025137326,0.02518736,26.09353217,26.198279,0.996340448
resnet,c316,12,2,c316-12-2,0.02504657,0.025122259,26.200369,26.260192,0.993765238
resnet,c316,13,0,c316-13-0,0.025793576,0.025900037,27.04064633,27.0035955,1.024531927
resnet,c316,13,1,c316-13-1,0.024831841,0.024537832,26.15082383,26.206432,0.970646965
resnet,c316,13,2,c316-13-2,0.026106934,0.026236042,26.37361767,26.4755515,1.037823331
resnet,c316,14,0,c316-14-0,0.025289058,0.025188931,26.87360567,26.664029,0.996402593
resnet,c316,14,1,c316-14-1,0.02552451,0.025231532,26.34775,26.411884,0.998087767
resnet,c316,14,2,c316-14-2,0.0244635,0.024409027,25.880093,25.867923,0.965551805
resnet,c316,15,0,c316-15-0,0.025520874,0.025700445,26.95263633,26.798492,1.016636634
resnet,c316,15,1,c316-15-1,0.025296501,0.025082105,25.71670533,25.7462135,0.992176859
resnet,c316,15,2,c316-15-2,0.02508797,0.025094735,25.84071133,25.8481115,0.992676466
resnet,c316,16,0,c316-16-0,0.025455745,0.025366497,27.17878633,27.234436,1.003426599
resnet,c316,16,1,c316-16-1,0.025251346,0.025241971,26.13174483,26.2216895,0.998500704
